Q,H,Q_ssa,H_ssa
35819.93,35794.26,35842.42668423435,35811.503424177594
35829.86,35818.16,35845.25242829751,35813.771630554955
35827.92,35808.31,35847.85334193656,35815.58230771665
35835.68,35804.34,35850.08790069795,35816.98880134771
35881.59,35822.43,35851.87771065254,35818.01786439894
35880.0,35837.14,35852.639690361255,35818.40558566024
35889.74,35850.03,35852.46942918386,35817.94616449076
35879.04,35855.12,35851.31583415144,35816.497073091836
35903.31,35866.45,35849.30808678856,35813.99049605764
35867.32,35802.73,35846.26026644256,35810.403479888475
35815.43,35800.95,35842.8169713677,35806.65221200573
35833.7,35790.01,35839.82314397044,35802.9840139833
35827.51,35802.14,35837.06561506713,35799.70797757081
35808.73,35796.61,35834.71727708266,35796.82861104724
35827.43,35747.29,35833.14356132924,35794.60553282328
35788.19,35747.29,35832.234016557646,35793.76462177456
35800.95,35769.99,35832.64673750339,35794.42551134813
35818.42,35795.96,35834.31394002403,35796.37362838386
35831.77,35807.0,35836.99913086984,35799.24260141839
35837.13,35810.27,35840.41616344003,35802.75676298263
35819.12,35788.76,35844.375783264644,35806.72054313905
35854.69,35801.39,35848.97609278926,35811.185683372205
35907.32,35833.84,35853.566733129286,35815.80830810893
35902.13,35861.13,35857.30873514827,35820.08443822948
35899.78,35856.64,35860.10515425636,35823.57766831556
35872.31,35837.14,35861.83721928629,35826.23185139908
35847.29,35824.92,35862.78095208655,35828.179847488434
35863.2,35837.47,35863.25588093982,35829.54325096327
35839.46,35814.3,35862.985320687476,35830.15982318494
35832.39,35817.02,35862.24610883532,35830.328070810596
35828.01,35803.41,35861.23979487583,35830.069486508386
35854.69,35800.95,35860.08963092234,35829.520062675394
35877.27,35844.79,35858.28682415074,35828.63260577973
35880.85,35837.14,35855.507652570275,35826.793006666856
35849.58,35826.23,35851.68058661549,35824.03425163307
35845.69,35816.89,35847.17882060196,35820.454769241886
35843.16,35825.01,35842.08770492726,35816.08673011067
35845.44,35831.27,35836.367991331244,35810.75667714105
35854.69,35835.86,35829.91932898619,35804.3423167619
35845.99,35815.33,35822.50699045956,35796.734763742024
35817.96,35800.95,35814.21306911086,35788.18707823892
35806.62,35794.22,35805.43540637272,35778.99195941477
35783.42,35757.23,35796.363167060175,35769.3270129212
35783.51,35732.58,35787.245069829776,35759.707710557734
35757.14,35720.49,35778.07298162247,35750.48707390455
35767.88,35736.94,35769.23415994086,35741.86322572773
35738.72,35720.49,35760.615501682216,35733.66200653524
35763.38,35729.01,35752.64298787482,35726.08313527813
