Q,H,Q_ssa,H_ssa
34636.2,34559.02,34665.77430179858,34605.60783872652
34638.82,34607.66,34672.79106483546,34611.81915945847
34638.82,34600.01,34679.35239253468,34617.32149594897
34664.81,34585.66,34685.36935064642,34622.135231280256
34664.81,34617.06,34690.19632401003,34626.166695691776
34690.82,34634.02,34693.42836905619,34628.65416275526
34768.97,34635.22,34694.39715634364,34628.98726010789
34777.93,34710.46,34691.79454124725,34626.89027434504
34789.0,34736.5,34685.30152416983,34621.16287314534
34742.9,34690.83,34674.667169027685,34611.33193585383
34707.46,34638.82,34660.4177492179,34597.96727670273
34662.96,34586.9,34643.395131053556,34582.015439258554
34609.86,34535.06,34624.68322950568,34564.55910933797
34560.97,34525.72,34605.59853843665,34546.81589322552
34569.1,34509.17,34587.556052158405,34529.49773794415
34526.41,34483.3,34571.25336736373,34513.63825277546
34530.12,34483.3,34558.098435841166,34500.31157462617
34560.97,34521.92,34548.85918951174,34490.37079826912
34556.58,34457.44,34543.789583228034,34484.030726668614
34527.37,34457.44,34543.67415942443,34482.70364381237
34512.56,34457.44,34549.68529208723,34487.08473842847
34490.81,34443.77,34562.63617593311,34497.528304259984
34509.17,34437.04,34583.171303492374,34514.47268124914
34535.06,34471.49,34611.09529539201,34538.08421688891
34612.85,34535.06,34645.88594531194,34567.86415705339
34666.73,34593.67,34686.26973629088,34602.64764177742
34707.74,34636.02,34730.797023134124,34641.25297688374
34753.44,34684.44,34778.25178962056,34682.590679800625
34821.17,34728.79,34827.15532555248,34725.32554593316
34951.36,34804.87,34875.847085854424,34768.20931570189
34951.99,34847.3,34921.932972005074,34809.747118782725
34998.0,34847.3,34964.78811759263,34848.914242033636
35030.57,34899.6,35003.19525854376,34885.36659075907
35056.99,34945.54,35036.462862096705,34917.96314335741
35056.99,34951.98,35064.107731848184,34945.9413761291
35103.15,34971.76,35085.975422188385,34969.065180193946
35135.95,35004.44,35101.638225365,34987.19288749685
35215.09,35050.54,35110.95655148603,35000.067907297045
35283.52,35155.86,35113.363896646246,35007.468750228974
35208.64,35056.98,35108.79198170792,35008.76294153937
